Disposition,Right_ascension,Declination,Transit_epoch,orbital_period,Transit_duration,Transit_depth,Planet_radius,Insolation_flux,Equilibrium_temp,Magnitude,Stellar_temperature,Stellar_surface_ gravity,Stellar_radius,Planet_name
CP,73.980013,-63.26033,2458331.489,34.5059318,3.8206653,17387.98342,10.4625162,9.5814512,448.7222169,11.5748,5025.77,4.66348,0.801736,55652896
CP,73.980013,-63.26033,2459340.905,17.3890454,2.6516541,2971.753227,6.4840125,23.8921547,563.8759593,11.5748,5025.77,4.66348,0.801736,55652896
CP,63.928339,29.166542,2459475.616,8.8349261,6.2442811,6132.255344,9.0595904,41.4198706,647.0263001,12.8131,3303,3.84689,1.1499799,56658270
CP,65.97965,27.82237,2458816.412,3.057524,1.3790503,1117.963818,2.4878486,122.3379291,848.2229732,9.794,4402,4.59,0.695095,58542531
CP,12.820663,12.787986,2459449.354,10.2829583,3.5348916,865.1246457,2.7186716,87.4018996,779.8300521,10.7434,5700,4.54131,0.894563,58824746
CP,12.990801,13.078371,2459494.147,5.8588751,3.581,2690,12.1366,429.794,1268,11.1893,6418,3.82,2.31,58825110
CP,336.402414,-34.909713,2458334.892,11.0708575,2.1937617,1149.732803,2.3337648,22.4219066,554.9934842,9.3636,4356,4.53491,0.700727,62483237
CP,15.218141,-24.423993,2458383.916,3.3639254,3.3430495,422.0610761,3.0449863,874.7955667,1387.063658,9.03971,5890.3,3.92,1.28018,63898957
CP,15.218141,-24.423993,2458389.727,13.0393586,4.9218325,625.5995687,3.3482223,243.5260946,1007.525683,9.03971,5890.3,3.92,1.31383,63898957
CP,108.123114,-24.95356,2459980.874,4.4010465,4.757,6903,19.7441,3731.9,2177,9.50712,8489,4.03,2.32,65412605
CP,86.738228,-11.23534,2459219.552,10.6265837,5.415,7530,12.0335,571.007,1361,10.9739,7723,4.43,1.35,66561343
CP,173.469142,12.451091,2459639.259,3.3706303,1.5183944,166589.9107,9.3830336,6.6189834,409.0887836,14.9046,3133,5.02671,0.222121,67512645
CP,115.93171,-1.073333,2459244.752,5.4566563,3.783,4160,10.9408,381.078,1230,10.9657,5674.8,4.04,1.72,68007716
CP,294.337425,35.276493,2459440.07,4.0966887,4.557,5620,12.9734,1193.86,1637,11.7791,6212,4.04,1.74,69356857
CP,32.534687,-31.070627,2459136.576,11.1452784,1.3947705,566.2736451,2.0671456,56.9132658,700.5241733,8.1345,5302.58,4.53515,0.848675,70513361
CP,33.154021,-35.390918,2459139.619,4.3474,4.684,3520,10.753,786.037,1475,10.6918,5618,3.93,1.79,70524163
CP,64.190221,-12.084864,2459196.115,4.0520368,1.5605128,5512.403319,4.9523134,38.5441194,635.4908204,10.7329,3779,4.64,0.607751,70899085
CP,116.797198,68.476685,2460307.769,13.7270395,4.007,901,2.95921,68.9542,802,9.09942,5777,4.38035,1.09,71431780
CP,123.39505,68.57459,2458843.596,5.4911302,1.9062098,448.451647,2.430675,337.3312542,1093.034562,9.16067,5874,4.37711,1.10649,71582156
CP,190.036564,-44.312078,2460066.437,2.5404679,2.154,572,2.15331,622.47,1391,9.4628,6003,4.47356,0.99,73228647
CP,211.459347,16.99237,2459690.743,1.2436239,1.211,1790,3.89334,435.33,1272,11.3719,4968.8,4.5,0.84,73540072
CP,225.83705,-35.230579,2460093.83,18.184189,3.696,9343,9.90639,20.0861,589,12.0836,5265,4.32,1.09,75650448
CP,271.935501,39.072927,2460496.591,9.2292078,2.817,1606,3.21883,37.6631,690,7.7945,4406,4.50428,0.77,75878355
CP,271.935501,39.072927,2460485.794,95.8531625,5.024,5975,5.95763,2.69104,356,7.7945,4406,4.50428,0.77,75878355
CP,274.669941,36.254856,2459789.419,4.9133022,5.159,2040,9.33912,999.403,1566,10.445,5918,3.84,2.06,76420654
CP,352.172541,-34.49141,2458358.118,4.5320502,2.3754425,7874.585279,7.0590799,123.9023995,850.9218562,10.4654,4983,4.61445,0.805573,76923707
CP,68.178987,-39.790874,2458411.474,0.8602406,0.5124345,719.5357708,0.9718795,112.3971391,830.4405814,10.4276,3450,4.89044,0.33819,77156829
CP,68.178987,-39.790874,2458411.068,3.6942604,1.1278521,832.8225921,1.0428407,16.1019503,510.9040793,10.4276,3450,4.89044,0.33819,77156829
CP,68.178987,-39.790874,2458414.563,4.9652069,0.9361524,633.0580849,0.8566925,10.8558882,462.9521337,10.4276,3450,4.89044,0.33819,77156829
CP,296.003935,-47.56203,2458656.668,6.4438657,1.9309449,1121.951228,2.460344,60.831305,712.2812841,10.0059,4803,4.52079,0.737189,79748331
CP,296.003935,-47.56203,2458664.49,12.2265595,2.1904379,1206.369329,2.6014766,25.8970378,575.3502049,10.0059,4803,4.52079,0.737189,79748331
CP,205.353953,17.686872,2459690.638,1.3641482,0.952,7820,19.5876,852.162,1505,10.6503,5347,4.33,1.08,81247740
CP,125.305054,-46.484296,2460006.078,6.4025295,3.9233956,3814.950895,9.3002413,623.0276834,1274.226362,8.5615,7056,4.33435,1.4072,83092282
CP,94.393712,28.445251,2459545.353,2.6570006,2.125,4050,10.4864,688.584,1427,11.8423,6328.7,4.11,1.63,83275782
CP,156.837704,34.39095,2459628.85,8.0542207,3.0287161,706.8165307,2.8337706,140.2332705,877.6725493,9.3523,5583.1,4.44,0.995254,85293053
CP,181.571834,12.507026,2459656.5,4.5445569,1.462,30740,5.7177,5.65747,429,12.9113,3192,4.92,0.3,86263325
CP,230.230416,-33.69246,2460083.977,7.7119842,4.058,3176,10.7188,536.15,1340,10.1757,6458,4.03,1.83,88902249
CP,263.758075,40.695043,2460470.362,10.2611329,7.369,1900,12.2521,515.939,1327,8.55942,6202,3.63,2.78,88992642
CP,338.399662,-43.436872,2458326.905,2.1096805,2.1344043,1309.729713,3.6396725,644.2138136,1284.923458,10.8061,5673,4.55383,0.940806,89020549
CP,307.596693,-44.887618,2459043.77,8.000489,4.6706895,4606.741969,10.9709265,455.1446051,1178.032032,10.9651,6146,4.12,1.55738,90850770
CP,144.5553,23.546746,2459531.564,45.5221456,4.3839392,3028.545328,9.7055757,51.0073705,681.5974916,7.4098,6303.91,4.11765,1.61034,91987762
CP,81.853282,-14.27674,2459195.308,16.067522,2.6182382,2929.650147,4.7909617,36.1060604,625.1939631,9.2711,5718,4.35658,0.860124,94986319
CP,81.853282,-14.27674,2458441.281,5.1976858,1.8810737,437.4376044,1.9257346,162.5917886,910.7399798,9.2711,5718,4.35658,0.860124,94986319
CP,90.474724,-13.461371,2458485.286,3.5809733,2.18,36850,12.0428,40.4443,702,13.5011,3790,4.64,0.61,95057860
CP,121.863257,29.388645,2459502.745,3.244299,2.6887498,5692.004831,12.9273057,1427.798956,1567.785035,11.9824,5999,4.1,1.5585901,95660472
CP,90.062588,11.884058,2459205.098,10.655694,7.8236322,2103.657876,11.7630857,997.808531,1433.446712,9.14112,6715,3.79727,2.49897,97568467
CP,252.047881,-32.433753,2459363.369,3.2535266,5.1881112,6160.5328,16.5212632,2886.094177,1869.379063,11.8994,6368,3.91383,2.06072,97766057
CP,107.833335,-35.850518,2459986.409,2.8279716,2.237,14846,18.5153,1118.3,1611,11.1007,6707,4.1,1.48,97921547
CP,45.462478,-16.594496,2459168.295,5.358776,1.3697764,2708.439372,1.4454154,6.2795537,403.7401541,8.84294,3562,4.97389,0.275953,98796344
CP,166.880658,61.352572,2460360.435,3.6714717,2.149,4340,10.678,324.114,1182,10.4221,5618,4.06,1.54,99869022
CP,109.388382,-19.828939,2459246.158,4.2809767,3.145,7520,13.0113,445.261,1279,10.8961,5964,4.13,1.49,100389539
CP,54.819538,-42.763028,2458386.189,9.5730706,3.7949677,370.8091141,2.3053058,186.024825,941.9166541,7.757,6101,4.38774,1.11672,100990000
CP,54.819538,-42.763028,2458385.724,4.040413,3.5274466,143.394396,1.5473747,587.586178,1255.705054,7.757,6101,4.38774,1.11672,100990000
CP,129.688303,-13.256527,2459982.845,6.3980642,2.004,1656,2.62025,33.7178,671,8.5925,4695,4.5,0.63,101011575
CP,129.688303,-13.256527,2459987.338,18.8792871,3.262,1199,1.99787,10.5814,502,8.5925,4695,4.5,0.63,101011575
CP,54.48089,33.079897,2459896.133,8.7094632,3.027,4510,20.9625,327.472,1185,9.62924,5597,4.03,1.59,101037590
CP,62.199207,67.116526,2458839.453,3.397862,4.502,9960,18.3834,2031.47,1870,10.8064,6590,4.05,1.83,102713734
CP,299.614252,32.28717,2458692.76,10.9048392,1.5530648,4030.776099,1.5489482,1.8239545,296.3966212,12.6396,3272,4.99712,0.242121,102734241
CP,155.871938,-43.834925,2460026.624,11.1972769,3.061,1301,2.62397,33.9923,672,9.36,4953.9,4.59,0.76,102840239
CP,155.871938,-43.834925,2460023.13,734.4987702,2.529,1004,2.1838,9.04438,483,9.36,4953.9,4.59,0.76,102840239
CP,152.218255,69.27662,2460333.631,3.4447015,1.912,796,2.00495,231.437,1086,9.91924,3912,4.62642,0.63,103633434
CP,159.409318,-40.888259,2460030.757,4.8847937,2.51,478,1.94753,223.094,1076,8.8411,5969,4.5172,0.94,106402532
CP,54.274323,19.499595,2459518.397,59.8473992,4.3696664,11392.75077,11.7556773,0.4688342,211.0447631,11.3281,5765.3,4.38,1.09215,113921235
CP,232.946047,47.055551,2460447.085,1.4520486,1.339,393,1.404,266.85,1125,9.1043,4184,4.57376,0.69,116483514
CP,10.569754,-36.717974,2458357.365,7.397216,1.3164962,953.5477499,1.2711131,6.6743946,409.942287,10.3475,3342,4.438,0.407103,118327550
CP,96.646702,-38.60721,2458471.218,7.1887332,2.9505752,285.257999,1.5254582,112.4619017,830.5601795,8.9767,5581,4.52166,0.882675,119292328
CP,175.575599,23.027033,2459648.62,10.6439385,2.713,1240,1.98891,10.7276,504,9.85623,3815,4.69775,0.55,119584412
CP,175.643637,20.965292,2459663.423,2.2054776,1.633,28280,9.6722,64.0804,788,14.9839,3770,4.71,0.53,119585136
CP,286.362495,37.02599,2459765.915,5.1830043,2.783,670,3.63045,346.626,1202,9.00568,6156,4.25196,1.34,120826158
CP,36.867885,-27.636117,2459139.127,4.7559737,2.5469696,398.6310113,1.725417,161.7314334,909.5327855,8.3157,5175.2,4.37657,0.841842,120896927
CP,36.867885,-27.636117,2459118.956,17.1807214,2.1004813,680.1385904,2.1954034,29.1782002,592.7674866,8.3157,5175.2,4.37657,0.841842,120896927
CP,37.108277,-25.097329,2459116.148,0.5568095,0.9712066,45140.53504,9.6870229,235.6927628,999.3239856,15.6198,3116,5.06043,0.439738,120916706
CP,115.102779,-42.154663,2459270.5,6.5562078,2.314,2970,8.40415,99.2324,879,9.4727,6845,4.36113,1.47,123482865
CP,91.54032,-19.953444,2459197.093,20.9108406,4.478,5936,11.3547,49.5559,739,11.215,6408,4.27,1.38,124029677
CP,93.11474,-23.492496,2459227.309,1.962292,2.935,20910,17.4523,2085.59,1882,12.0753,6384,4.41,1.16,124379043
CP,158.900701,-5.181374,2460013.734,3.9451359,2.424,841,2.51666,286.87,1146,10.1755,5581.9,4.13,0.99,124573851
CP,316.096939,24.653674,2459797.406,1.1589013,1.1688702,3470.67593,2.6829722,88.1856149,781.5723494,12.9374,3449,4.80176,0.427389,126606859
CP,217.6092,-46.159516,2458597.576,1.0115336,1.6201453,640.6892788,2.3332033,871.7333843,1385.848223,11.1116,4775,4.60305,0.789877,127530399
CP,117.47937,27.363134,2458845.373,7.107934,3.440833,501.6058242,2.2881711,145.5706555,885.9071544,6.2683,5694.11,4.53108,0.902932,130181866
CP,117.47937,27.363134,2459583.637,20.5438153,4.0537919,799.3817133,2.5734283,35.3582059,621.931143,6.2683,5694.11,4.53108,0.902932,130181866
CP,187.994843,-35.554452,2460039.193,17.4682298,3.491,926,2.17884,24.3644,618,9.0498,5499,4.39962,0.76,130924120
CP,106.559098,-47.587816,2458468.391,0.5481573,0.9424668,226.8573536,1.3591774,1463.115587,1577.391183,9.4022,4590,4.50961,0.751825,134200185
CP,152.102783,55.53996,2460331.445,7.3377236,4.243,795,3.2807,998.435,1566,9.91008,5994,4.4,1.1,137906197
CP,348.058952,-44.876485,2459062.447,0.77685,1.43,830,3.28324,4180.32,2240,11.5273,5190,4.42,0.96,139285832
CP,38.361569,41.013432,2458793.277,5.33155,6.191,4220,14.6101,1071.42,1593,10.1035,5917,3.78,2.22,139375960
CP,73.70144,-76.680606,2458543.338,2.0845434,2.017038,12504.82502,13.4432705,1085.494259,1463.951309,12.0166,5638,4.35,1.10646,140691463
CP,105.404552,72.41493,2459031.932,56.4043748,4.069,9060,12.5447,0.909373,272,11.0383,6433,4.36,1.25,141488193
CP,192.184898,64.855276,2459612.448,12.5187279,5.38,2320,5.58857,626.362,1393,8.9361,5729,4.47,0.98,142276270
CP,192.184898,64.855276,2460366.027,6.2586065,3.201,813,2.51593,232.392,1087,8.9361,5729,4.47,0.98,142276270
CP,192.184898,64.855276,2459594.183,26.3208756,4.414,800,2.71349,26.4328,631,8.9361,5729,4.47,0.98,142276270
CP,192.184898,64.855276,2458697.756,18.795547,4.3425576,470.6731965,2.1597669,48.477077,672.9826313,8.9361,5729,4.47,0.977727,142276270
CP,180.764269,-33.6655,2460038.985,18.9926881,1.506,223710,10.231,0.172006,179,14.3088,3003,5.05,0.21,142277868
CP,196.21972,63.753261,2460345.349,38.8135498,5.944,9593,8.20695,9.29717,486,9.7722,4760,4.49,0.82,142381532
CP,197.731229,61.744849,2460362.104,22.8085719,3.847,977,2.45459,14.6287,544,8.9754,5182,4.55,0.82,142387023
CP,198.388583,62.30538,2460359.607,8.157721,3.788,10273,9.31888,91.0972,860,10.1495,5091.2,4.47,0.9,142394656
CP,103.410508,-13.436384,2459222.402,9.3202467,4.963,2200,7.8768,250.474,1108,11.992,5916,4.02,1.67,142532090
