Disposition,orbital_period,Transit_duration,Transit_depth,Planet_radius,Insolation_flux,Equilibrium_temp,Magnitude,Stellar_temperatureÂ ,Stellar_surface_ gravity,Stellar_radius,classification
CP,14.3392144,4.6064739,392.6346872,2.2963233,118.7538488,841.9410276,7.4371,6295.7,4.438,1.1374201,1
CP,6.0964074,2.3632965,1142.489175,2.5856853,69.8633506,737.3642914,10.5216,4820.4,4.6,0.731699,1
CP,2.1096805,2.1344043,1309.729713,3.6396725,644.2138136,1284.923458,10.8061,5673,4.55383,0.940806,1
CP,4.7201912,4.416,6710,15.2105,1112.85,1609,9.03527,6696,4.08,1.8,1
CP,95.174,11.6316864,2600.061605,7.8498891,0.9938316,254.6525048,11.4881,5723.2,3.6,1.51811,1
CP,8.8803281,2.71,1238,3.20594,60.7382,777,8.2929,5555.7,4.49,0.92,1
CP,28.580474,4.5139977,1081.396943,3.1455035,20.8500726,545.0001759,8.2929,5555.7,4.49,0.920435,1
CP,38.3511223,5.9120193,1029.091726,3.2843583,14.086845,494.1094771,8.2929,5555.7,4.49,0.920435,1
CP,1.4015183,1.1583061,593.7540922,1.4616853,149.3747543,891.6389885,9.22978,3794,4.67812,0.597007,1
CP,5.5025577,3.1711008,844.7022676,2.7049797,102.6644008,811.847988,10.7261,4965,4.56,0.784109,1
CP,1.7622537,0.8779711,733.5550822,2.5235818,468.5415425,1186.606643,10.7261,4965,4.56,0.784109,1
CP,0.8474218,0.8758764,424.3932848,1.7536544,1876.131549,1678.554981,10.7157,5300,4.56,0.846387,1
CP,4.8420438,2.4105648,318.6638392,1.6177405,183.6641995,938.9141348,10.7157,5300,4.56,0.846387,1
CP,4.1269046,4.405,10831,17.0952,1436.49,1715,9.2205,6888,4.23416,1.59,1
CP,0.4628844,0.5588219,4489.911922,1.3543237,64.718104,723.3961549,11.9238,3043,5.09707,0.188624,1
CP,25.8386422,5.209,1806,4.31235,32.9135,667,10.0618,5769,4.43,1.03,1
CP,11.0708575,2.1937617,1149.732803,2.3337648,22.4219066,554.9934842,9.3636,4356,4.53491,0.700727,1
CP,10.5739824,4.04,5460,9.43898,171.146,1007,11.4266,6519,4.36,1.27,1
CP,4.4247042,1.318,2447,8.3621,465.179,1293,8.82374,6594,4.23,1.49,1
CP,1.0082361,1.41,228,1.7202,1882.94,1835,7.384,5795.29,4.438,1.13,1
CP,1.2168732,0.86,1240,3.43106,153.719,980,10.1917,4634.6,4.51,0.78,1
CP,1.4520486,1.339,393,1.404,266.85,1125,9.1043,4184,4.57376,0.69,1
CP,1.0697621,1.356,376,1.60037,1061.92,1590,9.0739,4946,4.53834,0.8,1
CP,3.0726434,2.2602485,10471.49497,19.9197757,2446.884871,1793.79634,8.51017,7164,4.25661,1.55831,1
CP,6.9561134,3.3628003,15989.2311,12.090823,136.9557694,872.4987884,11.2287,5387,4.46259,0.940037,1
CP,13.001789,4.4847322,1339.583766,3.84805,90.515093,786.6834253,10.1308,5914,4.46,1.00826,1
CP,7.4341456,2.424,701,1.97737,48.0098,733,8.3879,5064,4.57887,0.78,1
CP,2.650232,2.03,6449,15.9327,1454.53,1720,7.79824,7400,4.11,1.94,1
CP,18.840891,5.765,331,2.00342,94.5008,868,8.69378,6093,4.32207,1.22,1
CP,5.1396666,0.8991981,769.5996824,2.259057,143.9144538,883.3765229,10.3237,5374,5.96065,0.815924,1
CP,9.4280902,1.377,799,2.49195,25.1545,623,10.3237,5374,5.96065,0.82,1
CP,27.6438617,5.321,560,3.68027,68.4355,801,9.98671,5873,4.043,1.62,1
CP,6.267832,2.789,321,1.99779,203.434,1052,5.1054,5950,4.438,1.15,1
CP,0.4090681,0.6165726,1281.229467,1.1833779,207.0242436,967.4422529,12.4934,3328,4.91612,0.308799,1
CP,23.5407467,4.025,956,2.11441,16.8576,564,9.9377,5236,4.63898,0.75,1
CP,0.4702719,1.3258819,209.49313,1.4344026,5028.626285,2147.7419,10.1522,5466,4.48625,0.92499,1
CP,8.0970819,3.127852,4723.072438,2.6354043,5.3632275,388.1291894,13.1717,3391,4.84373,0.381586,1
CP,2.0439268,1.008937,465.1929875,1.0924808,44.9492524,660.3898166,10.0306,3407,4.7606,0.473603,1
CP,16.5379864,2.796,608,2.51948,53.0216,751,8.9989,5781,4.43068,1.03,1
CP,11.0619937,1.7587777,3249.116433,1.6184944,2.0225025,304.152939,12.295,3248,4.95407,0.275364,1
CP,6.5886877,1.678,852,2.12746,28.9612,646,10.1426,4920,4.64,0.71,1
CP,4.3135263,1.874,274,1.17405,142.833,963,10.1426,4920,4.64,0.71,1
CP,18.712253,6.475,6066,10.3984,171.765,1008,8.0417,6125,4.29,1.27,1
CP,2.1779407,2.098,110,1.28228,759.183,1462,5.8961,5801.89,4.25132,1.26,1
CP,5.9711357,1.5478671,1437.108603,1.8721145,18.0882455,525.9795517,10.5977,3834,4.74552,0.490737,1
CP,15.5324385,1.7640717,2937.495321,2.013576,2.1399188,308.4743596,10.8858,3382,4.85532,0.369306,1
CP,1.880531,1.1911684,1214.006659,1.4548629,35.7280633,623.5511988,10.8858,3382,4.85532,0.369306,1
CP,2.5272822,1.265861,1847.487224,2.2007181,45.3608214,661.896336,11.4752,3624,4.74607,0.49012,1
CP,20.7724316,5.508,1415,3.91576,209.722,1060,8.5725,5625.56,4.46798,0.97,1
CP,52.5637056,6.5,1193,3.28372,14.3711,542,8.5725,5625.56,4.46798,0.97,1
CP,6.3634106,2.692302,2368.695203,4.4784698,110.0200699,826.0146095,10.5508,5103,4.50257,0.859483,1
CP,5.2544884,2.898,567,2.1916,284.941,1144,8.297,5958,4.48217,0.99,1
CP,10.1802014,4.613,11500,12.3422,261.013,1119,10.2042,5623,4.4,1.04,1
CP,4.86709,3.103,4210,7.42915,435.152,1272,11.7835,5814.3,4.34,1.15,1
CP,5.147905,5.405,3710,18.0411,1594.76,1760,9.7116,6064,3.57,2.9,1
CP,5.0267996,2.754044,6358.00607,12.9814741,853.1354811,1378.396782,10.3002,6434,4.21,1.4782799,1
CP,5.8574075,5.8548029,6489.730235,13.8892762,750.9220273,1335.11434,10.9031,5982.9,4.03,1.67987,1
CP,2.0560153,2.773,17453,17.2767,1899.83,1839,10.377,6485,4.37,1.24,1
CP,1.902606,2.3653693,8984.989727,19.576504,17123.0055,2917.526091,8.75127,9918,4.32,1.82241,1
CP,2.0845434,2.017038,12504.82502,13.4432705,1085.494259,1463.951309,12.0166,5638,4.35,1.10646,1
CP,5.33155,6.191,4220,14.6101,1071.42,1593,10.1035,5917,3.78,2.22,1
CP,8.7094632,3.027,4510,20.9625,327.472,1185,9.62924,5597,4.03,1.59,1
CP,16.2016817,2.792,885,2.38101,28.0911,641,7.5825,5071,4.58,0.78,1
